,,,,target,x,y,z
-179.854,0.111595,179.752, ,45,0.145999999999987,,
-179.586,0.118285,-179.741, ,45,0.413999999999987,,
-179.28,0.129991,-179.132, ,45,0.719999999999999,,
-178.953,0.156943,-178.436, ,45,1.047,,
-178.6,0.194196,-177.66, ,45,1.40000000000001,,
-178.218,0.235679,-176.812, ,45,1.78200000000001,,
-177.803,0.276242,-175.899, ,45,2.197,,
-177.353,0.311431,-174.921, ,45,2.64699999999999,,
-176.863,0.337115,-173.88, ,45,3.137,,
-176.327,0.349049,-172.768, ,45,3.673,,
-175.735,0.34231,-171.577, ,45,4.26499999999999,,
-175.065,0.30758,-170.27, ,45,4.935,,
-174.276,0.234888,-168.782, ,45,5.72399999999999,,
-173.374,0.114958,-167.138, ,45,6.62600000000001,,
-172.398,-0.0605544,-165.42, ,45,7.602,,
-171.375,-0.299121,-163.685, ,45,8.625,,
-170.283,-0.617838,-161.905, ,45,9.71700000000001,,
-169.091,-1.03357,-160.039, ,45,10.909,,
-167.817,-1.55361,-158.117, ,45,12.183,,
-166.487,-2.18202,-156.186, ,45,13.513,,
-165.098,-2.93504,-154.246, ,45,14.902,,
-163.64,-3.82993,-152.294, ,45,16.36,,
-162.125,-4.87618,-150.347, ,45,17.875,,
-160.558,-6.08894,-148.418, ,45,19.442,,
-158.907,-7.51216,-146.483, ,45,21.093,,
-157.24,-9.09723,-144.636, ,45,22.76,,
-155.642,-10.7813,-142.955, ,45,24.358,,
-154.062,-12.6047,-141.398, ,45,25.938,,
-152.541,-14.5062,-140.008, ,45,27.459,,
-151.137,-16.4068,-138.816, ,45,28.863,,
-149.818,-18.3187,-137.788, ,45,30.182,,
-148.573,-20.232,-136.909, ,45,31.427,,
-147.402,-22.1285,-136.168, ,45,32.598,,
-146.295,-24.0104,-135.547, ,45,33.705,,
-145.232,-25.8858,-135.035, ,45,34.768,,
-144.228,-27.7166,-134.631, ,45,35.772,,
-143.301,-29.4593,-134.33, ,45,36.699,,
-142.431,-31.139,-134.108, ,45,37.569,,
-141.572,-32.8177,-133.957, ,45,38.428,,
-140.742,-34.4547,-133.879, ,45,39.258,,
-139.993,-35.9436,-133.868, ,45,40.007,,
-139.363,-37.2093,-133.9, ,45,40.637,,
-138.826,-38.3035,-133.95, ,45,41.174,,
-138.324,-39.315,-134.022, ,45,41.676,,
-137.844,-40.2745,-134.114, ,45,42.156,,
-137.38,-41.1939,-134.224, ,45,42.62,,
-136.934,-42.0729,-134.35, ,45,43.066,,
-136.509,-42.9026,-134.487, ,45,43.491,,
-136.114,-43.6676,-134.63, ,45,43.886,,
-135.759,-44.3496,-134.771, ,45,44.241,,
-135.455,-44.9293,-134.901, ,45,44.545,,
-135.213,-45.39,-135.011, ,45,44.787,,
-135.039,-45.7197,-135.094, ,45,44.961,,
-134.936,-45.9143,-135.144, ,45,45.064,,
-134.903,-45.9799,-135.161, ,45,45.097,,
-134.914,-45.9697,-135.151, ,45,45.086,,
-134.922,-45.9552,-135.143, ,45,45.078,,
-134.927,-45.9435,-135.138, ,45,45.073,,
-134.931,-45.9348,-135.135, ,45,45.069,,
-134.934,-45.9284,-135.133, ,45,45.066,,
-134.935,-45.9252,-135.131, ,45,45.065,,
-134.893,-46.2366,-135.134, ,45,45.107,,
-134.921,-46.5384,-135.088, ,45,45.079,,
-134.942,-46.7474,-135.054, ,45,45.058,,
