----------環境----------
シーン数,      1130
ターゲット数,  4
インターバル,  1
フレームレート,30Fps
スケール,      1.000
長さ単位,      cm
----------2Dオブジェクト----------
1,｢｣
2,｢｣
3,｢｣
4,｢｣
----------データ----------
シーン,   1X, 1Y, レベル,   2X, 2Y, レベル,   3X, 3Y, レベル,   4X, 4Y, レベル
226,  323.866, 105.427, 0,  360.236, 101.297, 0,  364.223, 56.804, 0,  403.528, 45.057, 0
227,  327.772, 104.832, 0,  364.343, 100.995, 0,  368.578, 56.605, 0,  407.921, 44.980, 0
228,  332.066, 104.651, 0,  368.455, 100.832, 0,  373.055, 56.510, 0,  412.510, 45.240, 0
229,  336.027, 104.671, 0,  372.729, 100.990, 0,  377.063, 56.531, 0,  416.636, 45.283, 0
230,  340.154, 104.846, 0,  376.990, 101.136, 0,  381.217, 56.762, 0,  421.000, 45.541, 0
231,  343.951, 104.951, 0,  380.638, 101.413, 0,  385.415, 57.246, 0,  425.265, 46.143, 0
232,  347.958, 105.507, 0,  384.531, 101.660, 0,  388.970, 57.570, 0,  429.298, 46.404, 0
233,  352.042, 105.958, 0,  388.565, 102.016, 0,  393.560, 58.254, 0,  433.073, 47.021, 0
234,  355.787, 106.667, 0,  392.089, 102.687, 0,  396.932, 58.871, 0,  436.845, 47.711, 0
235,  359.511, 107.578, 0,  395.492, 103.464, 0,  400.589, 59.620, 0,  440.174, 48.359, 0
236,  362.672, 108.650, 0,  398.657, 104.360, 0,  403.525, 60.697, 0,  442.915, 49.298, 0
237,  366.406, 109.669, 0,  402.023, 105.500, 0,  406.868, 61.783, 0,  445.833, 50.281, 0
238,  369.883, 110.484, 0,  405.809, 106.393, 0,  410.708, 63.108, 0,  449.766, 51.745, 0
239,  373.648, 111.125, 0,  409.297, 107.211, 0,  414.358, 63.764, 0,  453.196, 52.370, 0
240,  377.866, 111.685, 0,  413.677, 107.964, 0,  418.695, 64.523, 0,  457.412, 53.103, 0
